step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.5199573999998393,0.0,0.0,0.00041285480256192386
1,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.03841370000736788,0.0,0.0,0.00041285480256192386
2,10.0,-10.0,0.0,10.0,0.00025,0.000384729792131111,-7.194155477918684e-05,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.01625899999635294,0.0,0.0,0.000384729792131111
3,10.0,-10.0,0.00025,10.0,0.0,0.0003373622603248805,-0.0001844415528466925,-0.000868746021296829,0.00011004647240042686,0.00018621508206706494,0.017246099989279173,0.0,0.0,0.0003373622603248805
4,10.5,-10.0,0.0,10.0,0.0,0.0004249478515703231,-0.00018451093637850136,-0.001191958668641746,0.00012658270134124905,0.0001967390562640503,0.018838700008927844,0.0,0.0,0.0003373622603248805
5,10.0,-10.5,0.0,10.0,0.0,0.00041301280725747347,-0.00018952706886921078,-0.0011868815636262298,0.00010651804768713191,0.00016912457067519426,0.019637200006400235,0.0,0.0,0.0003373622603248805
6,10.0,-10.0,0.0,10.5,0.0,0.00042052881326526403,-0.00018573529087007046,-0.0011949234176427126,0.00010945566464215517,0.000192000821698457,0.014822899989667349,0.0,0.0,0.0003373622603248805
7,9.5,-10.2,0.0001,10.2,0.0001,0.0003624168748501688,-0.0001419002073816955,-0.0010445613879710436,9.199875057674944e-05,0.00017120715347118676,0.014122799999313429,0.0,0.0,0.0003373622603248805
8,9.8,-10.280000000000001,0.00014,9.580000000000002,0.00014,0.0003440413565840572,-0.0001232374634128064,-0.0009834892116487026,0.0001015858433675021,0.00016785284969955683,0.015460800001164898,0.0,0.0,0.0003373622603248805
9,9.719999999999999,-9.692,0.000196,9.911999999999999,0.000196,0.000323440384818241,-9.283252438763157e-05,-0.0009080951567739248,0.00010309709614375606,0.00018973667465616018,0.022579500000574626,0.0,0.0,0.000323440384818241
10,9.663999999999998,-9.5304,0.00023519999999999997,9.894399999999997,0.00023519999999999997,0.00030550925293937325,-7.348779763560742e-05,-0.0008522953139618039,0.00010246955207549036,0.00019378434808459133,0.018012100001215003,0.0,0.0,0.00030550925293937325
11,9.5856,-10.004160000000002,0.00029008,9.86976,0.00029007999999999996,0.00028083816869184375,-5.355229222914204e-05,-0.0007976014749146998,9.628427505958825e-05,0.00017591466894373298,0.027595200008363463,0.0,0.0,0.00028083816869184375
12,9.50272,-10.004992000000001,0.000348096,9.843712,0.00034809599999999994,0.000254489277722314,-2.737431896093767e-05,-0.0007232220959849656,9.349197353003547e-05,0.00017386874242220074,0.020755299992742948,0.0,0.0,0.000254489277722314
13,9.386688,-10.006156800000003,0.0004293184,9.8072448,7.931839999999991e-05,0.00025700623518787324,-0.00014822508092038333,-0.0006192273576743901,8.956030069384724e-05,0.00017101215780712664,0.014936999999918044,0.0,0.0,0.000254489277722314
14,9.8413632,-9.728619520000002,0.00046104575999999993,9.450142719999999,0.00022104575999999995,0.00023788514954503626,-8.067997259786353e-05,-0.0005779372877441347,0.0001072260201908648,0.00018569726671557873,0.017844400004833005,0.0,0.0,0.00023788514954503626
15,9.909635840000002,-9.634343424000004,0.000533254912,9.300171264,0.0002452549119999999,0.00021339685190469027,-6.838766421424225e-05,-0.00048624855116941035,0.00011042656842619181,0.0001885245874291286,0.024641500000143424,0.0,0.0,0.00021339685190469027
16,9.585217535999998,-9.390356889600003,0.0005783477248000001,9.958211225599996,0.00022314772479999995,0.00020220220903865993,-7.766146154608577e-05,-0.00043267192086204886,0.00010092970478581265,0.00019754571258090436,0.03045090001251083,0.0,0.0,0.00020220220903865993
17,9.542261043199998,-9.212428267520002,0.00066601726976,10.033853470719993,0.00023977726975999995,0.0001735691330395639,-6.859774293843657e-05,-0.00032130791805684566,0.00010087404371006414,0.00020349683472886682,0.01903059998585377,0.0,0.0,0.0001735691330395639
18,9.202121953279999,-9.355328196608003,0.000634754632704,9.551752613887995,0.0004590586327039999,0.00015952321700751781,3.0115945264697075e-05,-0.0003338409005664289,8.843863179208711e-05,0.00018569736857898533,0.017528199998196214,0.0,0.0,0.00015952321700751781
19,9.042546343936,-9.226393835929603,0.0007117055592448,9.462103136665593,0.0005508703592447999,0.00014257270959205925,7.306577026611194e-05,-0.000227721146075055,8.405801781918854e-05,0.0001854459405876696,0.014220000011846423,0.0,0.0,0.00014257270959205925
20,9.289540490854403,-9.703325730979842,0.0008401568564019199,9.484433868554238,0.00035012677640191994,9.699655493022874e-05,-2.2344642275129445e-05,-0.00010176215437240899,8.849560254020616e-05,0.00017538381507620215,0.029928100004326552,0.0,0.0,9.699655493022874e-05
21,9.214648589025282,-9.73791087717581,0.0009611482276823038,9.402440642265086,0.00037311213168230394,7.907582767074928e-05,-1.2125174180255271e-05,4.683375664171763e-05,8.556721149943769e-05,0.00017177716654259712,0.02251809999870602,0.0,0.0,7.907582767074928e-05
22,9.498036726464516,-9.120270561850166,0.0008587703874748415,9.409667405460269,0.0006235258690748415,0.00011806481052190065,0.00010696597746573389,-6.687715358566493e-05,0.00010025475057773292,0.00019816136045847088,0.022031699991202913,0.0,0.0,7.907582767074928e-05
23,9.380131417050318,-8.767546786590234,0.0011442625424647782,9.199582367644375,0.00046492021670477827,0.00015969315427355468,3.999150067102164e-05,0.0002949835907202214,9.912629320751876e-05,0.0002046712179435417,0.02065500000026077,0.0,0.0,7.907582767074928e-05
24,8.761413807870445,-8.791476707626323,0.0012035066826506897,9.702887545102122,0.0006556274265866896,0.000195690241525881,0.00012397846148815006,0.00038378534372895956,7.884420483605936e-05,0.00019615294877439737,0.027450599998701364,0.0,0.0,7.907582767074928e-05
25,8.962352663493117,-8.938978382991717,0.001086212622786819,9.63241219590925,0.0005838122365340188,0.00014986142923589796,9.034651884576306e-05,0.00023005163529887795,8.403851825278252e-05,0.00019500903727021068,0.01985580001201015,0.0,0.0,7.907582767074928e-05
26,8.896825252787695,-9.104011910295013,0.0012388224661014171,8.808628828457834,0.0007987190555362972,0.00021732811001129448,0.0001879423507489264,0.00042334102909080684,7.922066288301721e-05,0.00017880839004646987,0.0199776999943424,0.0,0.0,7.907582767074928e-05
27,9.429309779877844,-9.19345540500563,0.000766258179119748,9.819439158324116,0.00033759208227085197,0.00012714345939457417,-2.3717306248727255e-05,-0.0001883755758171901,9.7383075626567e-05,0.0001990978780668229,0.017215500003658235,0.0,0.0,7.907582767074928e-05
28,9.078626224068387,-9.719256838590937,0.0006093754480586265,9.890842647805353,0.0005226448548179483,0.00017323449719697237,5.4027379519538954e-05,-0.0003823236911557615,8.165461622411385e-05,0.00017493228369858116,0.017117099996539764,0.0,0.0,7.907582767074928e-05
