step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,q1_misalign_x,q1_misalign_y,q2_misalign_x,q2_misalign_y,q3_misalign_x,q3_misalign_y
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.46653299999888986,0.0,0.0,0.00041285480256192386,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
1,-30.0,27.324870953744327,3.6892815262515282e-06,-27.523342340198727,0.006,0.0011951134074479342,0.003777517005801201,-1.8523724065744318e-05,0.0009000289719551802,8.438370423391461e-05,0.016646000003675,0.0,0.0,0.00041285480256192386,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
2,-27.820121819283987,21.957509770175218,-0.0003930239605705148,-24.667601234229203,-0.0028934920196792124,0.00015774078201502562,-0.0004411028930917382,0.00015526797506026924,2.876086909964215e-05,5.831354428664781e-06,0.018065100004605483,0.0,0.0,0.00015774078201502562,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
3,-16.994389807409465,22.056887064683195,-0.003109363430499,5.568138057454716,-0.00013180862006953193,0.0003192158183082938,0.0001457361358916387,-0.0003208790731150657,0.00045315903844311833,0.00035708898212760687,0.01621329999761656,0.0,0.0,0.00015774078201502562,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
4,10.158269840699417,-10.536477771709503,0.0005894350910496822,-1.2100705924691766,0.0010941687703991433,0.00015129236271604896,0.00032880439539439976,-9.92447676253505e-05,0.0001279235875699669,4.919670755043626e-05,0.016625300006126054,0.0,0.0,0.00015129236271604896,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
5,3.236266462206584,-13.87689884794012,0.0005427665014033858,22.6953400853065,0.0001995438940805323,0.0002636039862409234,-0.00013830089301336557,-0.0008169917855411768,8.861782407620922e-05,1.0505387763259932e-05,0.01659749999816995,0.0,0.0,0.00015129236271604896,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
6,-5.3920374299966465,-8.442214989509344,0.00025461750569722406,18.911708768437283,0.0009320311377346134,0.00014572795771528035,0.00022087337856646627,-0.0002370984439039603,1.3759553439740557e-05,0.00011118045949842781,0.016124100002343766,0.0,0.0,0.00014572795771528035,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
7,5.415749901882966,-6.1333849587106535,0.00063633579083347,8.42725596868289,0.00030567420231429295,4.81726456200704e-05,2.424379204057914e-07,-5.508181857294403e-07,9.481486813456286e-06,0.00018241583893541247,0.01648659999773372,0.0,0.0,4.81726456200704e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
8,-0.34069564656869933,5.23106237710138,-0.00042564723504745494,-12.102901948027066,-0.0007119782734044149,8.544275624444708e-05,-9.490259981248528e-05,-4.827647899219301e-06,0.0002023052074946463,3.9735572499921545e-05,0.017143600001872983,0.0,0.0,4.81726456200704e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
9,11.622317520526074,-19.32928245329956,0.0012549579491621817,9.947977829831212,0.0006634850028330214,6.794422370148823e-05,1.675384191912599e-05,2.5472229026490822e-05,0.00011632616951828822,0.00011322466161800548,0.015337400000134949,0.0,0.0,4.81726456200704e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
10,1.1611958829051765,-7.046656694135779,0.0007201074522596869,19.534267501302306,0.00027250739853071056,9.720180969452485e-05,-7.171100878622383e-05,0.00012546566722448915,6.376607052516192e-05,0.00012786450679413974,0.01970679999794811,0.0,0.0,4.81726456200704e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
11,8.792914586349788,-9.393238663167416,-0.0002675737158277734,-19.778836443514788,0.00018526086400468334,4.4129588786745444e-05,4.311734187467664e-07,2.6794137738761492e-05,2.2418167645810172e-05,0.0001268748746952042,0.018123100002412684,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
12,-9.869674181134279,12.638049762417966,-0.0011906668263869345,-8.724148859546878,-0.0007329385058126007,5.234156924416311e-05,-2.94522635613248e-07,9.725454219733365e-09,0.00016563027747906744,4.343176624388434e-05,0.027440799996838905,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
13,-0.8470820805327379,8.129782508559627,-0.0004753835126441502,-6.588967311537274,-0.00045540279886717254,4.631436604540795e-05,6.740157459717011e-06,1.3210479664849117e-05,4.2735533497761935e-05,0.00012257129128556699,0.015195599997241516,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
14,-7.570181663284726,1.0482898930737123,-0.0003607679457420115,11.668910046896626,0.00020715758286258328,4.8422967665828764e-05,4.622318556357641e-06,2.323862281627953e-05,0.00011287581583019346,5.295511436997913e-05,0.02071820000128355,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
15,10.68596518334808,-16.852017009312384,0.0008725878099532399,-0.3692004431995202,0.0006011119413362076,4.7036344767548144e-05,-2.235367446701275e-09,-1.0119265425601043e-08,9.69489265116863e-05,9.118410525843501e-05,0.01962410000123782,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
16,-8.472570293035727,11.259637803695334,-0.0012660959366558363,20.909634542718017,0.00030169744655307573,9.319188393419608e-05,3.9668775571044534e-06,-2.891278018068988e-05,0.0002944411535281688,4.5446711737895384e-05,0.02628470000490779,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
17,-0.8174740576312529,-17.46818057173102,0.0011757219809404957,24.962178620233864,0.0005236031656087042,8.723219798412174e-05,-8.250123073594295e-08,-4.15411705034785e-09,0.00014954456128180027,0.00019929757399950176,0.016109900003357325,0.0,0.0,4.4129588786745444e-05,6.782580129049282e-11,0.00020000009923882688,0.00010000007851613353,-0.0003000000284758743,-9.999989371040898e-05,0.00015000001940728802
