step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,q1_misalign_x,q1_misalign_y,q2_misalign_x,q2_misalign_y,q3_misalign_x,q3_misalign_y
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.45390369999950053,0.0,0.0,0.00041285480256192386,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
1,-30.0,27.324870953744327,3.6892815262515282e-06,-27.523342340198727,0.006,0.0011951134074479342,0.003777517005801201,-1.8523724065744318e-05,0.0009000289719551802,8.438370423391461e-05,0.01706400000693975,0.0,0.0,0.00041285480256192386,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
2,-27.820121819283987,21.957509770175218,-0.0003930239605705148,-24.667601234229203,-0.0028934920196792124,0.00015774078201502562,-0.0004411028930917382,0.00015526797506026924,2.876086909964215e-05,5.831354428664781e-06,0.028284699998039287,0.0,0.0,0.00015774078201502562,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
3,-16.994389807409465,22.056887064683195,-0.003109363430499,5.568138057454716,-0.00013180862006953193,0.0003192158183082938,0.0001457361358916387,-0.0003208790731150657,0.00045315903844311833,0.00035708898212760687,0.025016400002641603,0.0,0.0,0.00015774078201502562,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
4,10.158269840699417,-10.536477771709503,0.0005894350910496822,-1.2100705924691766,0.0010941687703991433,0.00015129236271604896,0.00032880439539439976,-9.92447676253505e-05,0.0001279235875699669,4.919670755043626e-05,0.020748599999933504,0.0,0.0,0.00015129236271604896,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
5,3.236266462206584,-13.87689884794012,0.0005427665014033858,22.6953400853065,0.0001995438940805323,0.0002636039862409234,-0.00013830089301336557,-0.0008169917855411768,8.861782407620922e-05,1.0505387763259932e-05,0.02628779999940889,0.0,0.0,0.00015129236271604896,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
6,-5.3920374299966465,-8.442214989509344,0.00025461750569722406,18.911708768437283,0.0009320311377346134,0.00014572795771528035,0.00022087337856646627,-0.0002370984439039603,1.3759553439740557e-05,0.00011118045949842781,0.024422800001048017,0.0,0.0,0.00014572795771528035,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
7,5.415749901882966,-6.1333849587106535,0.00063633579083347,8.42725596868289,0.00030567420231429295,4.81726456200704e-05,2.424379204057914e-07,-5.508181857294403e-07,9.481486813456286e-06,0.00018241583893541247,0.016572499996982515,0.0,0.0,4.81726456200704e-05,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
8,-0.34069564656869933,5.23106237710138,-0.00042564723504745494,-12.102901948027066,-0.0007119782734044149,8.544275624444708e-05,-9.490259981248528e-05,-4.827647899219301e-06,0.0002023052074946463,3.9735572499921545e-05,0.015991299995221198,0.0,0.0,4.81726456200704e-05,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
9,11.622317520526074,-19.32928245329956,0.0012549579491621817,9.947977829831212,0.0006634850028330214,6.794422370148823e-05,1.675384191912599e-05,2.5472229026490822e-05,0.00011632616951828822,0.00011322466161800548,0.015301100000215229,0.0,0.0,4.81726456200704e-05,-7.853710361553591e-07,0.00020500404461494418,8.745925769418914e-06,-0.0002949146379978713,-0.00010365752143010818,0.00015057354083530263
